Frequency (GHz), S1:1 (dB), S1:1 (rad)
9.633686906822887253e-02,-5.335848004867668236e-06,-2.166472901031943343e-02
9.954809803716982430e-02,-6.764441698584937494e-06,-2.238708428422525251e-02
1.027593270061107900e-01,-7.601454113709079941e-06,-2.310939428318409608e-02
1.059705559750517417e-01,-7.649660309415646391e-06,-2.383170948141221171e-02
1.091817849439927074e-01,-6.968200519465921826e-06,-2.455408528699467782e-02
1.123930139129336730e-01,-5.861982833082004474e-06,-2.527656602495528468e-02
1.156042428818746387e-01,-4.800285564800076148e-06,-2.599917155316083112e-02
1.188154718508155905e-01,-4.285231590475503646e-06,-2.672189040187663428e-02
1.220267008197565700e-01,-4.705700162265960784e-06,-2.744468160433011228e-02
1.252379297886975218e-01,-6.217460385211561675e-06,-2.816748499400753211e-02
1.284491587576384874e-01,-8.684103448055081084e-06,-2.889023735068911580e-02
1.316603877265794531e-01,-1.169721225511109228e-05,-2.961289006387759701e-02
1.348716166955203910e-01,-1.467251232570086497e-05,-3.033542345078722724e-02
1.380828456644613844e-01,-1.699754049921685563e-05,-3.105785368888768980e-02
1.412940746334023501e-01,-1.819164434775664486e-05,-3.178023028888991158e-02
1.445053036023432880e-01,-1.803511105616764201e-05,-3.250262460401525527e-02
1.477165325712842536e-01,-1.663214649561493085e-05,-3.322511233002551495e-02
1.509277615402252193e-01,-1.439013940451666033e-05,-3.394775460947612594e-02
1.541389905091661849e-01,-1.192023808264237761e-05,-3.467058274837846871e-02
1.573502194781071506e-01,-9.885449564980172181e-06,-3.539359057556339810e-02
1.605614484470480885e-01,-8.836378223025847313e-06,-3.611673640246101241e-02
1.637726774159890819e-01,-9.077567669956602221e-06,-3.683995395681104179e-02
1.669839063849300198e-01,-1.059855461352294464e-05,-3.756316928805663452e-02
1.701951353538709855e-01,-1.308582572900334555e-05,-3.828631912614140209e-02
1.734063643228119511e-01,-1.601001487143987890e-05,-3.900936591819006288e-02
1.766175932917529168e-01,-1.876300141734258176e-05,-3.973230580766548559e-02
1.798288222606938824e-01,-2.080741995936083447e-05,-4.045516783301013330e-02
1.830400512296348481e-01,-2.179955246353242678e-05,-4.117800502006994240e-02
