Frequency (GHz), G_r Theta Pol: Theta=90.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=90.0 & Phi=180.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=180.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=45.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=45.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location)
1.650571690035654626e+01,-1.584063860415090730e+00,1.238780103752138206e+00,-1.774404971797454209e+02,1.883795027020201962e+00,-1.584008869704380817e+00,1.238788916995195333e+00,-1.335436153636896677e+02,-1.006558313317693187e+00,-6.034858733265485498e+00,-2.924518481016253002e+00,-1.508606224210544440e+02,-4.368773227423041194e-01
1.650892812932548637e+01,-1.585488968639769736e+00,1.237982581347591982e+00,-1.772027248470981817e+02,1.890519774406374642e+00,-1.585433162430917697e+00,1.237991385837507785e+00,-1.335170070290671163e+02,-1.011368537363208864e+00,-6.023748182529653050e+00,-2.924596034609123318e+00,-1.508186362965503520e+02,-4.465087373182324848e-01
1.651213935829442647e+01,-1.586920845608443598e+00,1.237184653898036446e+00,-1.769437722480149660e+02,1.880733588490364649e+00,-1.586864218957257711e+00,1.237193448965155262e+00,-1.334893405577771262e+02,-1.016289105070038001e+00,-6.012642199047762759e+00,-2.924675653156336264e+00,-1.507870790957117606e+02,-4.584386324782682154e-01
1.651535058726337013e+01,-1.588359992528714404e+00,1.236386381446798577e+00,-1.767392701991147135e+02,1.856447281088173362e+00,-1.588302540805431207e+00,1.236395166282379332e+00,-1.334612615134229259e+02,-1.021370032828961438e+00,-6.001541379823336797e+00,-2.924757276080388380e+00,-1.507747000939242525e+02,-4.716952272114354749e-01
1.651856181623231024e+01,-1.589806525089291211e+00,1.235587845081346225e+00,-1.766404715216592365e+02,1.823189800205824440e+00,-1.589748244548491174e+00,1.235596618775570255e+00,-1.334335458498327682e+02,-1.026614205995969309e+00,-5.990445928216247218e+00,-2.924840818821843325e+00,-1.507845902467829831e+02,-4.849407277453217091e-01
1.652177304520125034e+01,-1.591260145894812794e+00,1.234789119181874284e+00,-1.766692312117043571e+02,1.788089196208432208e+00,-1.591201033980532697e+00,1.234797880791240088e+00,-1.334068629555862628e+02,-1.031976765368027849e+00,-5.979355614181765866e+00,-2.924926201552286109e+00,-1.508134237288702479e+02,-4.968478924631318239e-01
1.652498427417019045e+01,-1.592720250699869444e+00,1.233990246744726349e+00,-1.768180534615166835e+02,1.758542444383182080e+00,-1.592660305989263003e+00,1.233998995367932228e+00,-1.333815729643690133e+02,-1.037378981164461367e+00,-5.968269874701929822e+00,-2.925013375415828953e+00,-1.508523341825702175e+02,-5.064723212565082067e-01
1.652819550313913055e+01,-1.594186132400092326e+00,1.233191225504299382e+00,-1.770499957317716166e+02,1.741046382320588837e+00,-1.594125354201394451e+00,1.233199960342936885e+00,-1.333576188562389859e+02,-1.042732269059865935e+00,-5.957188020181611421e+00,-2.925102338085837861e+00,-1.508893223716561920e+02,-5.135391579070541779e-01
1.653140673210807066e+01,-1.595657216649013277e+00,1.232392009164537061e+00,-1.773002456100473694e+02,1.739590383308573962e+00,-1.595595604377715748e+00,1.232400729549527174e+00,-1.333345448806927891e+02,-1.047965086673131152e+00,-5.946109479924864161e+00,-2.925193133800532586e+00,-1.509127846854891857e+02,-5.185554285083064929e-01
1.653461796107701431e+01,-1.597133253143304898e+00,1.231592523316021648e+00,-1.774874154394200048e+02,1.753576578852942269e+00,-1.597070805670531168e+00,1.231601228691299621e+00,-1.333116355415516523e+02,-1.053044655217086456e+00,-5.935034007648608778e+00,-2.925285837904933128e+00,-1.509152233343121736e+02,-5.226794088348889478e-01
