Frequency (GHz), G_r Theta Pol: Theta=90.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=90.0 & Phi=180.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=180.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=45.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=45.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location)
0.000000000000000000e+00,-8.849553321185219090e+01,1.570796326794896780e+00,-1.977673167894932078e+02,-1.570796326794896558e+00,-8.792957561075753858e+01,1.570796326794896780e+00,-1.928356778835659497e+02,1.570796326794896780e+00,-1.125646909921968444e+02,-1.570796326794896558e+00,-1.890549492157300904e+02,1.570796326794896780e+00
3.211228968940962186e-03,-8.853755175294159585e+01,1.558613843536445387e+00,-1.973154247739899461e+02,-1.437969486394840013e+00,-8.796893440938791286e+01,1.558619047700573246e+00,-1.927632178907194032e+02,1.579529528847645858e+00,-1.121041946295251535e+02,-1.573667562108957529e+00,-1.893828980897462202e+02,1.313265681701571763e+00
6.422457937881924372e-03,-8.866483733955611513e+01,1.546067848107296250e+00,-1.962891080306837637e+02,-1.374194186678687979e+00,-8.808808898301774093e+01,1.546101797419398016e+00,-1.925723705884978187e+02,1.579106763066525199e+00,-1.108526439013832885e+02,-1.575616036590376412e+00,-1.904185987373248850e+02,1.061398131453198834e+00
9.633686906822886559e-03,-8.888118655275687274e+01,1.532762393399583978e+00,-1.952195052465543483e+02,-1.388116935663123552e+00,-8.829035982741972077e+01,1.532876515275411355e+00,-1.923278946490140129e+02,1.564209457919653268e+00,-1.090979748205100748e+02,-1.576456415573589176e+00,-1.923542566017686966e+02,8.254352361688223061e-01
1.284491587576384874e-02,-8.919330617263022987e+01,1.518228325521688848e+00,-1.944058382576290569e+02,-1.456493976072606555e+00,-8.858158568439073122e+01,1.518512080106737105e+00,-1.921025075364753150e+02,1.534582804623934704e+00,-1.071154407271751268e+02,-1.576562215306604342e+00,-1.956977111881717235e+02,6.354756769164509045e-01
1.605614484470481093e-02,-8.961147099431366314e+01,1.501863064543176973e+00,-1.939564398737894919e+02,-1.555028827646922185e+00,-8.897064817105973589e+01,1.502463521087423981e+00,-1.919537859354607008e+02,1.493900336515247673e+00,-1.050893454042659556e+02,-1.576378167698731403e+00,-2.019687920927701441e+02,6.541663095917522597e-01
1.926737381364577312e-02,-9.015065102292810195e+01,1.482832435185219566e+00,-1.939011410920513185e+02,-1.664426404398005488e+00,-8.947036060806949820e+01,1.483991068807894331e+00,-1.919148831314302299e+02,1.448005944941126000e+00,-1.031194444935139529e+02,-1.576197177307302022e+00,-2.060081917087656223e+02,1.991665624767993803e+00
2.247860278258673530e-02,-9.083239448457388221e+01,1.459898698381350890e+00,-1.942425532685368239e+02,-1.767830637892844559e+00,-9.009892849610297105e+01,1.462022316954319390e+00,-1.919931282099165060e+02,1.403542297262377003e+00,-1.012510450447713595e+02,-1.576152169074329867e+00,-1.978166642551078951e+02,2.368536642411924298e+00
2.568983175152769749e-02,-9.168799473398055966e+01,1.431097319571361437e+00,-1.949614996557888276e+02,-1.846999541219856322e+00,-9.088235151849205806e+01,1.434902060116578726e+00,-1.921701553747817286e+02,1.366939096765509509e+00,-9.949963646381456783e+01,-1.576268585430569136e+00,-1.935353016017786558e+02,2.225657804526978811e+00
2.890106072046865968e-02,-9.276392691252024747e+01,1.393078078139722731e+00,-1.959808124786965493e+02,-1.879047891707534834e+00,-9.185843223373132105e+01,1.399904002703701078e+00,-1.924019969039991338e+02,1.343296485987492961e+00,-9.786581676230474613e+01,-1.576514051268109506e+00,-1.910985637758506073e+02,2.003002945207525975e+00
3.211228968940962186e-02,-9.413134252900677268e+01,1.339623358351592408e+00,-1.970686040565775556e+02,-1.838612966818596206e+00,-9.308355776479977806e+01,1.352191075612036775e+00,-1.926229505479165027e+02,1.334813390241699649e+00,-9.634333899558794201e+01,-1.576833756059557334e+00,-1.897168357998504291e+02,1.756179999484129173e+00
3.532351865835058752e-02,-9.590205000479045339e+01,1.257890431035158851e+00,-1.977419439354300721e+02,-1.720632270560803034e+00,-9.464389775235389379e+01,1.282357305408313941e+00,-1.927604268192893926e+02,1.339118851524343290e+00,-9.492322733574120264e+01,-1.577173380983911688e+00,-1.891012105641377730e+02,1.500421938990635695e+00
3.853474762729154623e-02,-9.824571033107628182e+01,1.117441925851083040e+00,-1.975412227266485274e+02,-1.578680809498984150e+00,-9.666969742186722669e+01,1.169856957892925209e+00,-1.927628807456186166e+02,1.348964821296113836e+00,-9.359582447792686821e+01,-1.577492394162087530e+00,-1.891499103990826143e+02,1.242568838241734586e+00
4.174597659623250495e-02,-1.012967145924368708e+02,8.349631347718776686e-01,-1.966195466741910707e+02,-1.491852254490787510e+00,-9.931210921819379678e+01,9.633599014073195299e-01,-1.926263331755609727e+02,1.354704162742266904e+00,-9.235178286310568296e+01,-1.577769727882976980e+00,-1.898706135434069893e+02,9.879128466282414145e-01
4.495720556517347061e-02,-1.039401699063823230e+02,2.219541931587888095e-01,-1.955211545233444781e+02,-1.485662393583025764e+00,-1.022862316203639210e+02,5.317713102826152616e-01,-1.923965970598295883e+02,1.348517786628450343e+00,-9.118251765239602946e+01,-1.578003490566113998e+00,-1.913856288981877469e+02,7.440563334896663772e-01
4.816843453411443626e-02,-1.022675494783603511e+02,-5.395585659338664186e-01,-1.946197970989971111e+02,-1.541414646680672629e+00,-1.028347469311159728e+02,-2.042367582070455656e-01,-1.921450149091814410e+02,1.327286711063417890e+00,-9.008037957182389732e+01,-1.578206457926798256e+00,-1.940284763249002538e+02,5.293186435817773816e-01
5.137966350305539498e-02,-9.844848561976138512e+01,-9.439752669587933021e-01,-1.940643294020644021e+02,-1.633705472238295542e+00,-9.966510019070612714e+01,-7.645761219952263987e-01,-1.919393821781379188e+02,1.292631256034329157e+00,-8.903867639718711757e+01,-1.578399278665076455e+00,-1.987267496634136705e+02,4.168245463720289812e-01
5.459089247199635370e-02,-9.517270688251562660e+01,-1.131711357575014842e+00,-1.938990636174949316e+02,-1.741924688343847061e+00,-9.620424944701555603e+01,-1.033101369663761648e+00,-1.918270434885852751e+02,1.249323450246103695e+00,-8.805161030575877135e+01,-1.578603342611254678e+00,-2.070261461534394130e+02,1.042064800976776118e+00
5.780212144093731935e-02,-9.255140813605203221e+01,-1.233523237669561290e+00,-1.941322531284674824e+02,-1.848890505266656659e+00,-9.336770861726547821e+01,-1.171200268766135810e+00,-1.918299172050832340e+02,1.203649149828720510e+00,-8.711417033151664668e+01,-1.578834969040313618e+00,-2.006154845819039849e+02,2.157975415246264017e+00
6.101335040987828501e-02,-9.039652930428893285e+01,-1.296540459790593847e+00,-1.947527551646800816e+02,-1.937107818956522287e+00,-9.105175218584261643e+01,-1.252792142189313118e+00,-1.919442765946336920e+02,1.162232175702152537e+00,-8.622200647662522499e+01,-1.579102001964764357e+00,-1.950094820195246541e+02,2.117222861594922456e+00
6.422457937881924372e-02,-8.856964249860722305e+01,-1.339303361816463811e+00,-1.957068888291183271e+02,-1.985119159225705809e+00,-8.910782493761182366e+01,-1.306287382964187893e+00,-1.921407944181526943e+02,1.131037109231213700e+00,-8.537130518974231563e+01,-1.579403176162360811e+00,-1.919450684789033517e+02,1.917818654034617598e+00
6.743580834776019550e-02,-8.698185338741573958e+01,-1.370270698855123648e+00,-1.968195854886752727e+02,-1.967062060827456271e+00,-8.743319373336336753e+01,-1.344049049680229313e+00,-1.923656235395633303e+02,1.114081303154062841e+00,-8.455868044035504738e+01,-1.579729916585692839e+00,-1.901679721081943342e+02,1.679406829287810377e+00
7.064703731670117504e-02,-8.557504380872555316e+01,-1.393789712284265958e+00,-1.976745354617951875e+02,-1.867841454947109847e+00,-8.596015918911274412e+01,-1.372173871256473499e+00,-1.925481857574038713e+02,1.111740011537039496e+00,-8.378108892180537737e+01,-1.580069712355711253e+00,-1.892456471596938457e+02,1.427117479593613680e+00
7.385826628564212681e-02,-8.430971295274035526e+01,-1.412308154013440564e+00,-1.977375019288267310e+02,-1.723070148368425647e+00,-8.464302490793093625e+01,-1.393982277842799711e+00,-1.926219900058487156e+02,1.119473284250836365e+00,-8.303577202996855533e+01,-1.580409962169962546e+00,-1.890140831765547773e+02,1.170196666953048137e+00
7.706949525458309247e-02,-8.315796995351108478e+01,-1.427306408701757956e+00,-1.969627746279122960e+02,-1.614695774225380021e+00,-8.344985730947593083e+01,-1.411429058700614858e+00,-1.925542611000952320e+02,1.128646842199865441e+00,-8.232022193396387877e+01,-1.580741240616818200e+00,-1.894374534448833458e+02,9.142405654536110982e-01
8.028072422352404425e-02,-8.209945579579313346e+01,-1.439732945139536646e+00,-1.958602025281828674e+02,-1.586721292783954018e+00,-8.235759096186964712e+01,-1.425738952063993592e+00,-1.923638018408040011e+02,1.130023615557680383e+00,-8.163216514019003966e+01,-1.581059233292984478e+00,-1.905833388552812835e+02,6.654622947773889408e-01
8.349195319246500990e-02,-8.111888737885708167e+01,-1.450224845012423547e+00,-1.948790497700266542e+02,-1.628032209449887580e+00,-8.134907935308132210e+01,-1.437719133577381569e+00,-1.921103707274410795e+02,1.117704227098138769e+00,-8.096955505835559563e+01,-1.581365031263286092e+00,-1.926708168811621817e+02,4.360404396987864750e-01
8.670318216140597556e-02,-8.020452000084935662e+01,-1.459226788333403135e+00,-1.942189913849571781e+02,-1.712742598482211553e+00,-8.041126015788867676e+01,-1.447923889542682252e+00,-1.918658165546480916e+02,1.090748011140269425e+00,-8.033056537037052180e+01,-1.581663938369324729e+00,-1.962767172479291560e+02,2.642803378939439507e-01
8.991441113034694121e-02,-7.934714701309951579e+01,-1.467058645571041708e+00,-1.939435903575292457e+02,-1.818719473951933008e+00,-7.953397215552770660e+01,-1.456746439621817713e+00,-1.916896025474599980e+02,1.052308144749112273e+00,-7.971357815033337602e+01,-1.581963311578719944e+00,-2.030600003421309339e+02,3.786237806035593345e-01
9.312564009928789299e-02,-7.853942478517321035e+01,-1.473955696279499517e+00,-1.940676962294241719e+02,-1.928148162509365715e+00,-7.870916489213941247e+01,-1.464472736680113796e+00,-1.916178342877566649e+02,1.007912721500126008e+00,-7.911716395334107688e+01,-1.582270142662248968e+00,-2.043096744723426923e+02,1.753315531609117350e+00
9.633686906822887253e-02,-7.777540212206061199e+01,-1.480093741676621555e+00,-1.945864269778657558e+02,-2.023991873577546396e+00,-7.793035343224676126e+01,-1.471314560351774769e+00,-1.916611147410374372e+02,9.640351410610222826e-01,-7.854005453574883688e+01,-1.582589069481980637e+00,-1.969326801938492508e+02,1.976622416530177340e+00
9.954809803716982430e-02,-7.705018354657730129e+01,-1.485605661653203402e+00,-1.954637019676334546e+02,-2.086130828374820556e+00,-7.719223211665402573e+01,-1.477430957866467498e+00,-1.918047010293818175e+02,9.270507827943167412e-01,-7.798111158772299234e+01,-1.582921304758858616e+00,-1.930293075913971279e+02,1.820328523475204019e+00
1.027593270061107900e-01,-7.635968417093016569e+01,-1.490592979307823640e+00,-1.965710329928089379e+02,-2.089241770947101173e+00,-7.649039586733624674e+01,-1.482942901028812210e+00,-1.920087311283542419e+02,9.021657645539961079e-01,-7.743929622760694542e+01,-1.583264662451824289e+00,-1.907776124547430356e+02,1.595558773877076009e+00
1.059705559750517417e-01,-7.570044988329867408e+01,-1.495134347300999478e+00,-1.975658065670485257e+02,-2.011584113178750410e+00,-7.582113716983602103e+01,-1.487943786424265946e+00,-1.922115054804336296e+02,8.919508388237403773e-01,-7.691364382994281357e+01,-1.583614541213264726e+00,-1.895152501508815135e+02,1.348823450387842682e+00
1.091817849439927074e-01,-7.506952551566001830e+01,-1.499291942757226659e+00,-1.978932986440246395e+02,-1.870680209622713752e+00,-7.518129789601188406e+01,-1.492507171443675285e+00,-1.923424216342017701e+02,8.947179755874802298e-01,-7.640324727248474801e+01,-1.583965478425496842e+00,-1.889927580937047651e+02,1.093983697742993977e+00
1.123930139129336730e-01,-7.446435858747148018e+01,-1.503116256917705007e+00,-1.973105492818528433e+02,-1.743493621676026173e+00,-7.456816131430321093e+01,-1.496692473159937808e+00,-1.923475766004446541e+02,9.040049209110690986e-01,-7.590724945189555228e+01,-1.584312774988826167e+00,-1.891262555545087594e+02,8.377219251345778828e-01
1.156042428818746387e-01,-7.388272901002359561e+01,-1.506649533480301617e+00,-1.962358692910864875e+02,-1.692147259025819750e+00,-7.397937320411563178e+01,-1.500549032777902969e+00,-1.922163786467340003e+02,9.106121863732429267e-01,-7.542484362923741514e+01,-1.584653726521193517e+00,-1.899363831971358536e+02,5.856671741349994686e-01
1.188154718508155905e-01,-7.332269695401473086e+01,-1.509928042969956197e+00,-1.951860577424179155e+02,-1.716841661452785717e+00,-7.341288330686776931e+01,-1.504118828341900027e+00,-1.919873573141443899e+02,9.065669600513955873e-01,-7.495527845936190658e+01,-1.584988155810873600e+00,-1.915621177727314262e+02,3.465364660677334174e-01
1.220267008197565700e-01,-7.278256260588884174e+01,-1.512983402104947750e+00,-1.944234592397106667e+02,-1.792335950966317482e+00,-7.286690019660591133e+01,-1.507438107440480346e+00,-1.917275623830366840e+02,8.881819725988043812e-01,-7.449786384798071026e+01,-1.585318168587223742e+00,-1.943718840494447022e+02,1.425156099232887663e-01
1.252379297886975218e-01,-7.226083308001540217e+01,-1.515843195713335811e+00,-1.940374472023531780e+02,-1.894828573378029679e+00,-7.233985441205150835e+01,-1.510538239255821313e+00,-1.915041380628100569e+02,8.564572383078478124e-01,-7.405197417299896756e+01,-1.585647281126034924e+00,-1.993852663262972555e+02,6.792181440272380966e-02
1.284491587576384874e-01,-7.175619335767319740e+01,-1.518531189680162097e+00,-1.940512460495631046e+02,-2.005541796957532874e+00,-7.183036643943378863e+01,-1.513446101991278603e+00,-1.913660240517627358e+02,8.156912739355253184e-01,-7.361704669818249158e+01,-1.585979231309911253e+00,-2.067972081350812630e+02,8.965694558909547141e-01
1.316603877265794531e-01,-7.126747966196377604e+01,-1.521067411408248304e+00,-1.944651232279426836e+02,-2.107584099541630174e+00,-7.133721776583270469e+01,-1.516184299736072161e+00,-1.913376748913467225e+02,7.718553050072662902e-01,-7.319257476077412150e+01,-1.586316844695071726e+00,-1.995679184089800060e+02,1.772313935294679732e+00
1.348716166955203910e-01,-7.079365495198905478e+01,-1.523468314386368982e+00,-1.952558419121545796e+02,-2.181985217420194800e+00,-7.085932455335387203e+01,-1.518771435998671926e+00,-1.914184028977282992e+02,7.313718888761346903e-01,-7.277809699990542924e+01,-1.586661276259419662e+00,-1.944637890891138170e+02,1.705114529082536023e+00
1.380828456644613844e-01,-7.033378705468705050e+01,-1.525747148273838949e+00,-1.963315357559318954e+02,-2.204562459489994630e+00,-7.039571435146696388e+01,-1.521222571390462797e+00,-1.915825761757730277e+02,7.001130158427919525e-01,-7.237318504240013795e+01,-1.587011811093346214e+00,-1.916087796746480763e+02,1.502747192988352021e+00
1.412940746334023501e-01,-6.988703026389124773e+01,-1.527914549229614005e+00,-1.974211381145059931e+02,-2.149863379139266950e+00,-6.994550659391211411e+01,-1.523549883613499301e+00,-1.917807726750730808e+02,6.821884396066616452e-01,-7.197743240126030173e+01,-1.587366230080988982e+00,-1.899530031040995937e+02,1.264250017262140702e+00
1.445053036023432880e-01,-6.945261106027558640e+01,-1.529979273664260342e+00,-1.979953506716812512e+02,-2.019394651443768396e+00,-6.950789746119892243e+01,-1.525763455186965878e+00,-1.919466756544161967e+02,6.783748497555130985e-01,-7.159044684811902926e+01,-1.587721583534638992e+00,-1.891181136821622033e+02,1.012534424319086357e+00
1.477165325712842536e-01,-6.902981808874531566e+01,-1.531948943491961979e+00,-1.976440417091144752e+02,-1.878009394833345835e+00,-6.908214918169547047e+01,-1.527872059064724786e+00,-1.920155900135720231e+02,6.848584288474935944e-01,-7.121184741014477027e+01,-1.588075111941141815e+00,-1.889605612218596207e+02,7.565111945072211519e-01
1.509277615402252193e-01,-6.861799588475915357e+01,-1.533830662560944358e+00,-1.966366588592632638e+02,-1.802585790338722793e+00,-6.866758320944128968e+01,-1.529883804221660704e+00,-1.919518827433300885e+02,6.937786704829262963e-01,-7.084126578556818288e+01,-1.588425032888435728e+00,-1.894560838621730454e+02,5.018766766184623584e-01
1.541389905091661849e-01,-6.821654128792378913e+01,-1.535631399314424161e+00,-1.955344798919520599e+02,-1.808520685952978990e+00,-6.826357617599377647e+01,-1.531806539040560633e+00,-1.917676869137616507e+02,6.962767262424115478e-01,-7.047835077866280074e+01,-1.588770975574020472e+00,-1.906834193695317197e+02,2.553114772318009762e-01
1.573502194781071506e-01,-6.782490118940255286e+01,-1.537358095453190909e+00,-1.946735108238623013e+02,-1.873078689130921459e+00,-6.786955723529617046e+01,-1.533647975181310796e+00,-1.915160657124847035e+02,6.862647196092248603e-01,-7.012277365381065408e+01,-1.589113964571681636e+00,-1.928805907196096427e+02,3.047196476321827746e-02
1.605614484470480885e-01,-6.744257030729318103e+01,-1.539017533264466442e+00,-1.941773154903522425e+02,-1.970831821820778762e+00,-6.748500548104215113e+01,-1.535415567230020040e+00,-1.912651070544224581e+02,6.622770501733977744e-01,-6.977423226285600322e+01,-1.589455993719866234e+00,-1.966729572430255644e+02,-1.278767994291442334e-01
1.637726774159890819e-01,-6.706908804443223460e+01,-1.540616053679227271e+00,-1.940803215436570213e+02,-2.081730242302887390e+00,-6.710944648657375922e+01,-1.537116242156163048e+00,-1.910736061458850941e+02,6.269143996914288142e-01,-6.943245237465208675e+01,-1.589799347556380082e+00,-2.037543830707838310e+02,6.353042252798134226e-02
1.669839063849300198e-01,-6.670403404045472939e+01,-1.542159246887099044e+00,-1.943876763037564785e+02,-2.188715618910729521e+00,-6.674244758095585439e+01,-1.538756101467792625e+00,-1.909788634541430383e+02,5.852667850563437746e-01,-6.909718561887025601e+01,-1.590145889587354144e+00,-2.033153141684837237e+02,1.414187183067102005e+00
1.701951353538709855e-01,-6.634702261927618849e+01,-1.543651730994660465e+00,-1.950856253848584174e+02,-2.273723488913561575e+00,-6.638361206592497865e+01,-1.540340211692047934e+00,-1.909936003382291574e+02,5.434846715084068469e-01,-6.876820453274584111e+01,-1.590496529864235287e+00,-1.964410308372167719e+02,1.566256766663689515e+00
1.734063643228119511e-01,-6.599769679043167514e+01,-1.545097096074683929e+00,-1.961105939438382393e+02,-2.313954280407896746e+00,-6.603257303362157415e+01,-1.541872559957346844e+00,-1.911059215285517894e+02,5.077074467755272602e-01,-6.844529604920759880e+01,-1.590851015835686111e+00,-1.927580717083476429e+02,1.401943605403800364e+00
1.766175932917529168e-01,-6.565572267222573544e+01,-1.546498034144082823e+00,-1.972556667382137903e+02,-2.282383331805500681e+00,-6.568898765009792839e+01,-1.543356194288128425e+00,-1.912797744728905514e+02,4.830157728428325914e-01,-6.812825515650831676e+01,-1.591208084734785366e+00,-1.906226602147587812e+02,1.175008934152251161e+00
1.798288222606938824e-01,-6.532078512884196186e+01,-1.547856617661483858e+00,-1.980478026392313495e+02,-2.167706002590714220e+00,-6.535253268904943980e+01,-1.544793510322634233e+00,-1.914581737514120334e+02,4.720722014071678241e-01,-6.781688031196385680e+01,-1.591565906450925993e+00,-1.894395132461584979e+02,9.271640619718719556e-01
1.830400512296348481e-01,-6.499258509843528486e+01,-1.549174646676729994e+00,-1.979581037884619832e+02,-2.017724069740204129e+00,-6.502290178160390610e+01,-1.546186604078811255e+00,-1.915748593604484711e+02,4.736285854406828699e-01,-6.751097158780426355e+01,-1.591922665148109539e+00,-1.889812612552328801e+02,6.713959636310209422e-01
1.862512801985757860e-01,-6.467083864522840031e+01,-1.550453968807274263e+00,-1.970621980493210117e+02,-1.918171697526603658e+00,-6.469980440314196812e+01,-1.547537594987120624e+00,-1.915773055141684722e+02,4.819759281397048012e-01,-6.721033167467800240e+01,-1.592277097409125597e+00,-1.891746456833794525e+02,4.141297131873071247e-01
1.894625091675167794e-01,-6.435527733506097547e+01,-1.551696689435357879e+00,-1.959276380688872905e+02,-1.902995986408993812e+00,-6.438296618630386092e+01,-1.548848837163846248e+00,-1.914515671151474407e+02,4.886423870092765354e-01,-6.691476903478589122e+01,-1.592628829886019615e+00,-1.900487072205907850e+02,1.608851431390693476e-01
1.926737381364577451e-01,-6.404564923682929134e+01,-1.552905226038378661e+00,-1.949728853019448707e+02,-1.954601295174683395e+00,-6.407212985634973279e+01,-1.550122973776208113e+00,-1.912296759934122008e+02,4.859510680767732960e-01,-6.662410192506033013e+01,-1.592978429220469616e+00,-1.917546672083494741e+02,-7.962406283762066272e-02
1.958849671053986830e-01,-6.374171977011328494e+01,-1.554082208218243499e+00,-1.943661606529262258e+02,-2.046170703453461304e+00,-6.376705600777740557e+01,-1.551362837086493807e+00,-1.909726956062402508e+02,4.700041401695053134e-01,-6.633816185231823681e+01,-1.593327167993178417e+00,-1.946913395848008861e+02,-2.846283061646123769e-01
1.990961960743396486e-01,-6.344327176301916893e+01,-1.555230269194554982e+00,-1.941569587841514704e+02,-2.156053950311574319e+00,-6.346752308928551400e+01,-1.552571240757365301e+00,-1.907444894224464065e+02,4.413275137902933354e-01,-6.605679529759507318e+01,-1.593676594548035785e+00,-1.999973289286143086e+02,-3.519774437053977412e-01
2.023074250432806143e-01,-6.315010439843581480e+01,-1.556351802613278990e+00,-1.943555025504497848e+02,-2.266684297470201503e+00,-6.317332628112449555e+01,-1.553750738676710874e+00,-1.905932660088073476e+02,4.037286495684458965e-01,-6.577986314802295453e+01,-1.594028047325899200e+00,-2.073440687086643948e+02,6.160014125500277160e-01
2.055186540122215799e-01,-6.286203111013098521e+01,-1.557448763312925699e+00,-1.949548065439308289e+02,-2.360617220297137386e+00,-6.288427533254579771e+01,-1.554903428862049575e+00,-1.905443065668771681e+02,3.627665752147502531e-01,-6.550723800395206808e+01,-1.594382262132764128e+00,-1.993069554096121578e+02,1.393844329716809494e+00
2.087298829811625456e-01,-6.257887682668305018e+01,-1.558522572225529590e+00,-1.959122064835872266e+02,-2.416469956614140546e+00,-6.260019176191045176e+01,-1.556030862127042447e+00,-1.905987097197595688e+02,3.245262510377796006e-01,-6.523880016272602234e+01,-1.594739183983505892e+00,-1.943608166645820745e+02,1.299149237262301915e+00
2.119411119501034835e-01,-6.230047515638992905e+01,-1.559574150705196560e+00,-1.970744878051361866e+02,-2.407190974373594194e+00,-6.232090601387699280e+01,-1.557134080080546878e+00,-1.907336220023097439e+02,2.946077822602701235e-01,-6.497443343646270364e+01,-1.595098027421703257e+00,-1.916022100994661059e+02,1.087336273939391695e+00
2.151523409190444769e-01,-6.202666611197259527e+01,-1.560604069483083389e+00,-1.980414237282902832e+02,-2.312462379955261049e+00,-6.204625517015674063e+01,-1.558213766952423640e+00,-1.909036835292689602e+02,2.769708107899334082e-01,-6.471402195058375639e+01,-1.595457552494064624e+00,-1.900149780224630831e+02,8.432062289799493460e-01
2.183635698879854148e-01,-6.175729480053024645e+01,-1.561612764196631531e+00,-1.982254665505581954e+02,-2.160949512914083659e+00,-6.177608163404151043e+01,-1.559270466724651971e+00,-1.910476513064768369e+02,2.725033068148478566e-01,-6.445744871794600783e+01,-1.595816461160437960e+00,-1.892377179917978651e+02,5.868284840745362496e-01
2.215747988569263804e-01,-6.149221121367383347e+01,-1.562600752360376877e+00,-1.974886158831423586e+02,-2.039100672187393215e+00,-6.151023291712731833e+01,-1.560304800335289954e+00,-1.911051627566413629e+02,2.778895159031776196e-01,-6.420459621484806689e+01,-1.596173788513169711e+00,-1.891354126866955312e+02,3.260395382394404851e-01
2.247860278258673461e-01,-6.123127093758913020e+01,-1.563568789778083890e+00,-1.963493941075975329e+02,-2.000956331099830177e+00,-6.124856234209243411e+01,-1.561317621240685849e+00,-1.910413937552323773e+02,2.860499638477816964e-01,-6.395534858135539480e+01,-1.596529171927016932e+00,-1.896907295711112340e+02,6.575645129841659053e-02
2.279972567948083118e-01,-6.097433635713812805e+01,-1.564517925641265128e+00,-1.953093718347429899e+02,-2.037604780333075460e+00,-6.099093023201425723e+01,-1.562310069146138458e+00,-1.908646215355405218e+02,2.888000617394316238e-01,-6.370959461062639662e+01,-1.596882924339026566e+00,-1.909926212047365652e+02,-1.883890127879095933e-01
2.312084857637492774e-01,-6.072127782048760025e+01,-1.565449447631740654e+00,-1.945933914111938634e+02,-2.121549398248838703e+00,-6.073720505222602384e+01,-1.563283513888011678e+00,-1.906216127183603248e+02,2.802738845930464184e-01,-6.346723050824154200e+01,-1.597235900555482813e+00,-1.933040414766934418e+02,-4.248462588377417415e-01
2.344197147326902431e-01,-6.047197428522541429e+01,-1.566364741192436627e+00,-1.942713449244089929e+02,-2.229300662362923902e+00,-6.048726402821984038e+01,-1.564239414192147404e+00,-1.903750538590063286e+02,2.587832656670085996e-01,-6.322816153279137552e+01,-1.597589208062948130e+00,-1.973483198695078613e+02,-6.040157695231108681e-01
2.376309437016311810e-01,-6.022631315865662316e+01,-1.567265111022725810e+00,-1.943595820923863471e+02,-2.342463171080685580e+00,-6.024099295686642819e+01,-1.565179139660119789e+00,-1.901807724353363653e+02,2.264972294937387387e-01,-6.299230201748622449e+01,-1.597943857619255725e+00,-2.055811474467381004e+02,-4.225549079695621324e-01
2.408421726705721744e-01,-5.998418930990484910e+01,-1.568151621226403947e+00,-1.948562234282464942e+02,-2.443932038752903324e+00,-5.999828519365301815e+01,-1.566103812367955594e+00,-1.900752231598646631e+02,1.880563797185812458e-01,-6.275957378961389566e+01,-1.598300461827796948e+00,-2.038239885299059040e+02,1.159998454485646313e+00
2.440534016395131400e-01,-5.974550348747204964e+01,-1.569025001763047156e+00,-1.957339988046884969e+02,-2.513647584946344882e+00,-5.975904005352287385e+01,-1.567014215377456887e+00,-1.900716567162041031e+02,1.492073523982116179e-01,-6.252990348874382676e+01,-1.598659069715671288e+00,-1.965989327860598337e+02,1.212425322282678408e+00
2.472646306084540779e-01,-5.951016054780743048e+01,-1.569885646450931205e+00,-1.968832935622279479e+02,-2.525471640168891252e+00,-5.952316103247645174e+01,-1.567910792873710824e+00,-1.901597781157165912e+02,1.157278534103934470e-01,-6.230321959252592023e+01,-1.599019179835030613e+00,-1.929658611339644949e+02,1.016374196758160764e+00
2.504758595773950436e-01,-5.927806794199553764e+01,-1.570733699109636339e+00,-1.979814615448495942e+02,-2.453464961406337075e+00,-5.929055429593336157e+01,-1.568793737972163260e+00,-1.903064319151256711e+02,9.239307037161385849e-02,-6.207945000775857380e+01,-1.599379918549191926e+00,-1.908922274144933624e+02,7.729866797301900849e-01
2.536870885463359815e-01,-5.904913481364022942e+01,-1.571569198338059303e+00,-1.984384215895788373e+02,-2.307618276162447746e+00,-5.906112778348030901e+01,-1.569663138302173300e+00,-1.904591065230224558e+02,8.171006869204669454e-02,-6.185852087313455172e+01,-1.599740321226504447e+00,-1.897704942063787144e+02,5.133273916719435226e-01
