Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
5.137966350305539498e-02,-1.863512126451005102e+01,1.264453629647177113e+00,-5.993531013970259530e-02,-3.079707266725597581e-01,-5.841914380516322325e+01,1.416781555227647704e+00,-5.843573996536151327e+01,1.478643578852181673e+00
5.459089247199635370e-02,-1.813431228237711323e+01,1.245519585866594392e+00,-6.731080081465709575e-02,-3.270135422574539930e-01,-5.788524398230910606e+01,1.414535061254779125e+00,-5.789989247492062674e+01,1.472768087616029842e+00
5.780212144093731935e-02,-1.766511099343519575e+01,1.226620810065961464e+00,-7.505012572774993895e-02,-3.460207073097490982e-01,-5.738059018525412824e+01,1.411868756493785515e+00,-5.739361433662686807e+01,1.466871982589000201e+00
6.101335040987828501e-02,-1.722425016831539679e+01,1.207758990416621714e+00,-8.313948277213389915e-02,-3.649906023427632595e-01,-5.690199001719547311e+01,1.408843522413883109e+00,-5.691365215030133129e+01,1.460954179043386425e+00
6.422457937881924372e-02,-1.680896386164520351e+01,1.188935727789520502e+00,-9.156451490157857531e-02,-3.839216824660302563e-01,-5.644674024055080963e+01,1.405507915840790378e+00,-5.645725426093571286e+01,1.455013611397700357e+00
6.743580834776019550e-02,-1.641688946869226839e+01,1.170152536149759781e+00,-1.003103434419397033e-01,-4.028124797472132923e-01,-5.601253216228802501e+01,1.401901155010828903e+00,-5.602207276391096968e+01,1.449049233370537593e+00
7.064703731670117504e-02,-1.604599259754604645e+01,1.151410842408670865e+00,-1.093616019821396779e-01,-4.216616053586767499e-01,-5.559737864509592242e+01,1.398055285737998865e+00,-5.560608832507875832e+01,1.443060018006817602e+00
7.385826628564212681e-02,-1.569450866465990302e+01,1.132711985977540747e+00,-1.187024707553363256e-01,-4.404677515108507135e-01,-5.519955708511113102e+01,1.393996772658850913e+00,-5.520755172375419306e+01,1.437044957582177096e+00
7.706949525458309247e-02,-1.536089693882403573e+01,1.114057218184411502e+00,-1.283167114296030475e-01,-4.592296931738933941e-01,-5.481756436297025203e+01,1.389747680439103572e+00,-5.482493784391770930e+01,1.431003063394066244e+00
8.028072422352404425e-02,-1.504380398160611598e+01,1.095447701662238593e+00,-1.381877022322520188e-01,-4.779462895882831130e-01,-5.445008090255897315e+01,1.385326558539698327e+00,-5.445690906187757463e+01,1.424933365450132605e+00
8.349195319246500990e-02,-1.474203427105950048e+01,1.076884509781595778e+00,-1.482984733322132431e-01,-4.966164855640262110e-01,-5.409594174779427078e+01,1.380749109534529229e+00,-5.410228581738513753e+01,1.418834912065696896e+00
8.670318216140597556e-02,-1.445452638072962692e+01,1.058368626177655258e+00,-1.586317424005481425e-01,-5.152393125673059293e-01,-5.375411310988358338e+01,1.376028698434102804e+00,-5.376002274040168771e+01,1.412706769382575445e+00
8.991441113034694121e-02,-1.418033350077322652e+01,1.039900944405004912e+00,-1.691699502602364291e-01,-5.338138895927979632e-01,-5.342367322160771437e+01,1.371176744977454121e+00,-5.342918912047426261e+01,1.406548020821199119e+00
9.312564009928789299e-02,-1.391860738623115701e+01,1.021482267742356065e+00,-1.798952965242675006e-01,-5.523394238197710804e-01,-5.310379661107021576e+01,1.366203029920316281e+00,-5.310895280388264439e+01,1.400357766477016819e+00
9.633686906822887253e-02,-1.366858503476685804e+01,1.003113309160809097e+00,-1.907897751063239444e-01,-5.708152110505168020e-01,-5.279374110832363698e+01,1.361115938411045168e+00,-5.279856682097276632e+01,1.394135122470688604e+00
9.954809803716982430e-02,-1.342957755641154982e+01,9.847946914627748738e-01,-2.018352094738676827e-01,-5.892406359308214325e-01,-5.249283704688656371e+01,1.355922657622267380e+00,-5.249735820630706939e+01,1.387879220259682578e+00
1.027593270061107900e-01,-1.320096081735944438e+01,9.665269475933208065e-01,-2.130132875000178838e-01,-6.076151719540049401e-01,-5.220047823390265762e+01,1.350629341272809869e+00,-5.220471859375528112e+01,1.381589205916831542e+00
1.059705559750517417e-01,-1.298216752992253653e+01,9.483105211211201313e-01,-2.243055957613458717e-01,-6.259383812525569635e-01,-5.191611434828705285e+01,1.345241250138855538e+00,-5.192009625870858258e+01,1.375264239379293985e+00
1.091817849439927074e-01,-1.277268052930106634e+01,9.301457668821602187e-01,-2.356936531249276823e-01,-6.442099141843788956e-01,-5.163924449311119247e+01,1.339762874870343179e+00,-5.164298934814073760e+01,1.368903493669453741e+00
1.123930139129336730e-01,-1.257202703047356351e+01,9.120329517758074545e-01,-2.471589434714492328e-01,-6.624295087239581159e-01,-5.136941168186136508e+01,1.334198045245917896e+00,-5.137294009188244814e+01,1.362506154087673504e+00
